"NMDS1"	"NMDS2"	"site"	"Serotype"	"Source"	"Geo"
"HUM_DUBN_WA_08_R9_3253"	-0.0262844053279098	-0.0281437324082759	"HUM_DUBN_WA_08_R9_3253"	"Dublin"	"Human"	"WA"
"HUM_DUBN_WA_11_R9_3257"	-0.0252147036560347	-0.0721940166098373	"HUM_DUBN_WA_11_R9_3257"	"Dublin"	"Human"	"WA"
"HUM_NEWP_NY_08_R8_0802"	-0.0700180250717704	0.0144881896754501	"HUM_NEWP_NY_08_R8_0802"	"Newport"	"Human"	"NY"
"HUM_TYPH_NY_11_R8_8132"	0.392015846265197	0.0262395352195006	"HUM_TYPH_NY_11_R8_8132"	"Typhimurium"	"Human"	"NY"
"HUM_DUBN_WA_12_R9_3258"	-0.0386887240545433	-0.0383505164703846	"HUM_DUBN_WA_12_R9_3258"	"Dublin"	"Human"	"WA"
"HUM_TYPH_NY_12_R9_0437"	0.0500610852496641	0.235455499419663	"HUM_TYPH_NY_12_R9_0437"	"Typhimurium"	"Human"	"NY"
"HUM_NEWP_NY_08_R8_2947"	-0.0386648645004238	-0.0384850080703874	"HUM_NEWP_NY_08_R8_2947"	"Newport"	"Human"	"NY"
"BOV_NEWP_NY_08_R8_2690"	-0.0434715201112763	-0.0386729169710836	"BOV_NEWP_NY_08_R8_2690"	"Newport"	"Bovine"	"NY"
"BOV_NEWP_WA_12_R9_3242"	-0.0434416384101507	-0.0386344151893048	"BOV_NEWP_WA_12_R9_3242"	"Newport"	"Bovine"	"WA"
"HUM_DUBN_WA_10_R9_3255"	-0.0252147036560347	-0.0721940166098373	"HUM_DUBN_WA_10_R9_3255"	"Dublin"	"Human"	"WA"
"HUM_DUBN_WA_10_R9_3256"	0.140766765166216	-0.169797471304376	"HUM_DUBN_WA_10_R9_3256"	"Dublin"	"Human"	"WA"
"BOV_TYPH_NY_11_R8_9118"	-0.0253435689871814	-0.0270417023319906	"BOV_TYPH_NY_11_R8_9118"	"Typhimurium"	"Bovine"	"NY"
"HUM_NEWP_WA_11_R9_3266"	-0.0868291171354708	0.0034669273647332	"HUM_NEWP_WA_11_R9_3266"	"Newport"	"Human"	"WA"
"HUM_NEWP_WA_11_R9_3265"	-0.0530323574023848	-0.0345503244769276	"HUM_NEWP_WA_11_R9_3265"	"Newport"	"Human"	"WA"
"BOV_DUBN_WA_11_R9_3235"	-0.0480837895235459	-0.078195102612739	"BOV_DUBN_WA_11_R9_3235"	"Dublin"	"Bovine"	"WA"
"BOV_DUBN_WA_12_R9_3236"	-0.0252125672931955	-0.0721929077425046	"BOV_DUBN_WA_12_R9_3236"	"Dublin"	"Bovine"	"WA"
"BOV_DUBN_NY_10_R8_7251"	-0.0707098352537832	-0.0310369775012848	"BOV_DUBN_NY_10_R8_7251"	"Dublin"	"Bovine"	"NY"
"HUM_DUBN_NY_08_R8_1599"	-0.0262002959440806	-0.0281916426778241	"HUM_DUBN_NY_08_R8_1599"	"Dublin"	"Human"	"NY"
"HUM_TYPH_WA_09_R9_3271"	0.0500630233026093	0.235455062236597	"HUM_TYPH_WA_09_R9_3271"	"Typhimurium"	"Human"	"WA"
"HUM_TYPH_WA_09_R9_3272"	0.085331853967398	0.17900183477926	"HUM_TYPH_WA_09_R9_3272"	"Typhimurium"	"Human"	"WA"
"HUM_DUBN_NY_10_R8_7956"	-0.0418883404451404	-0.0353998603357179	"HUM_DUBN_NY_10_R8_7956"	"Dublin"	"Human"	"NY"
"HUM_TYPH_WA_10_R9_3273"	-0.240482430462275	-0.0264322635349773	"HUM_TYPH_WA_10_R9_3273"	"Typhimurium"	"Human"	"WA"
"BOV_NEWP_NY_09_R8_4108"	-0.0386648645004238	-0.0384850080703874	"BOV_NEWP_NY_09_R8_4108"	"Newport"	"Bovine"	"NY"
"HUM_TYPH_WA_10_R9_3274"	-0.171043454404649	0.128656465175723	"HUM_TYPH_WA_10_R9_3274"	"Typhimurium"	"Human"	"WA"
"BOV_DUBN_WA_08_R9_3231"	-0.0252125672931955	-0.0721929077425046	"BOV_DUBN_WA_08_R9_3231"	"Dublin"	"Bovine"	"WA"
"BOV_TYPH_NY_11_R8_8387"	-0.0498992907608261	0.152469872897325	"BOV_TYPH_NY_11_R8_8387"	"Typhimurium"	"Bovine"	"NY"
"HUM_TYPH_NY_08_R8_0764"	-0.0754327902717908	-0.0219703555430433	"HUM_TYPH_NY_08_R8_0764"	"Typhimurium"	"Human"	"NY"
"HUM_DUBN_NY_08_R8_3349"	-0.0641099015169221	-0.0712645867031682	"HUM_DUBN_NY_08_R8_3349"	"Dublin"	"Human"	"NY"
"HUM_TYPH_NY_08_R8_0763"	0.0412797262840531	0.240012183833861	"HUM_TYPH_NY_08_R8_0763"	"Typhimurium"	"Human"	"NY"
"HUM_TYPH_WA_08_R9_3269"	-0.153982644299631	0.0544220008952429	"HUM_TYPH_WA_08_R9_3269"	"Typhimurium"	"Human"	"WA"
"BOV_NEWP_NY_10_R8_5931"	-0.0386648645004238	-0.0384850080703874	"BOV_NEWP_NY_10_R8_5931"	"Newport"	"Bovine"	"NY"
"BOV_TYPH_NY_11_R8_8274"	-0.0498992907590868	0.152469872871178	"BOV_TYPH_NY_11_R8_8274"	"Typhimurium"	"Bovine"	"NY"
"HUM_DUBN_NY_10_R8_5384"	-0.0262826681830932	-0.0281454347432864	"HUM_DUBN_NY_10_R8_5384"	"Dublin"	"Human"	"NY"
"HUM_TYPH_WA_08_R9_3270"	-0.332303227866135	0.148181353207289	"HUM_TYPH_WA_08_R9_3270"	"Typhimurium"	"Human"	"WA"
"HUM_NEWP_NY_09_R8_4908"	-0.0712734966420342	-0.0311662155646183	"HUM_NEWP_NY_09_R8_4908"	"Newport"	"Human"	"NY"
"HUM_TYPH_NY_10_R8_6089"	0.0820524728860158	0.202894612819631	"HUM_TYPH_NY_10_R8_6089"	"Typhimurium"	"Human"	"NY"
