"NMDS1"	"NMDS2"	"site"	"Serotype"	"Source"	"Geo"
"HUM_DUBN_WA_08_R9_3253"	-0.0884123768841684	-0.0172045286271093	"HUM_DUBN_WA_08_R9_3253"	"Dublin"	"Human"	"WA"
"HUM_DUBN_WA_11_R9_3257"	-0.305646721687826	-0.130565461440434	"HUM_DUBN_WA_11_R9_3257"	"Dublin"	"Human"	"WA"
"HUM_NEWP_NY_08_R8_0802"	0.0205414640886554	-0.270448930356145	"HUM_NEWP_NY_08_R8_0802"	"Newport"	"Human"	"NY"
"HUM_TYPH_NY_11_R8_8132"	0.782587116937331	-0.631606904053332	"HUM_TYPH_NY_11_R8_8132"	"Typhimurium"	"Human"	"NY"
"HUM_DUBN_WA_12_R9_3258"	-0.0884118100117127	-0.0172126160967741	"HUM_DUBN_WA_12_R9_3258"	"Dublin"	"Human"	"WA"
"HUM_TYPH_NY_12_R9_0437"	0.480465633259748	-0.014106343822312	"HUM_TYPH_NY_12_R9_0437"	"Typhimurium"	"Human"	"NY"
"HUM_NEWP_NY_08_R8_2947"	-0.0884105353030642	-0.0172011037462768	"HUM_NEWP_NY_08_R8_2947"	"Newport"	"Human"	"NY"
"BOV_NEWP_NY_08_R8_2690"	-0.0884108655120106	-0.0172037926992382	"BOV_NEWP_NY_08_R8_2690"	"Newport"	"Bovine"	"NY"
"BOV_NEWP_WA_12_R9_3242"	-0.0884105316569968	-0.0171936698612652	"BOV_NEWP_WA_12_R9_3242"	"Newport"	"Bovine"	"WA"
"HUM_DUBN_WA_10_R9_3255"	-0.305646984573804	-0.130568344564994	"HUM_DUBN_WA_10_R9_3255"	"Dublin"	"Human"	"WA"
"HUM_DUBN_WA_10_R9_3256"	-0.440870986059634	-0.129042867534501	"HUM_DUBN_WA_10_R9_3256"	"Dublin"	"Human"	"WA"
"BOV_TYPH_NY_11_R8_9118"	-0.0884101624025183	-0.0171969369527745	"BOV_TYPH_NY_11_R8_9118"	"Typhimurium"	"Bovine"	"NY"
"HUM_NEWP_WA_11_R9_3266"	0.0107471735330703	-0.288487065323406	"HUM_NEWP_WA_11_R9_3266"	"Newport"	"Human"	"WA"
"HUM_NEWP_WA_11_R9_3265"	-0.0884112182272287	-0.0172105915612883	"HUM_NEWP_WA_11_R9_3265"	"Newport"	"Human"	"WA"
"BOV_DUBN_WA_11_R9_3235"	-0.305647062056976	-0.130566601268	"BOV_DUBN_WA_11_R9_3235"	"Dublin"	"Bovine"	"WA"
"BOV_DUBN_WA_12_R9_3236"	-0.305647577207594	-0.130565910877909	"BOV_DUBN_WA_12_R9_3236"	"Dublin"	"Bovine"	"WA"
"BOV_DUBN_NY_10_R8_7251"	-0.0884116631950882	-0.0171998021832568	"BOV_DUBN_NY_10_R8_7251"	"Dublin"	"Bovine"	"NY"
"HUM_DUBN_NY_08_R8_1599"	-0.0884111666225949	-0.0171973632250371	"HUM_DUBN_NY_08_R8_1599"	"Dublin"	"Human"	"NY"
"HUM_TYPH_WA_09_R9_3271"	0.480465633259756	-0.0141063438213347	"HUM_TYPH_WA_09_R9_3271"	"Typhimurium"	"Human"	"WA"
"HUM_TYPH_WA_09_R9_3272"	0.64669399855717	-0.104625158290094	"HUM_TYPH_WA_09_R9_3272"	"Typhimurium"	"Human"	"WA"
"HUM_DUBN_NY_10_R8_7956"	-0.0884116166483484	-0.0172019755294246	"HUM_DUBN_NY_10_R8_7956"	"Dublin"	"Human"	"NY"
"HUM_TYPH_WA_10_R9_3273"	0.0395598151604244	-0.636659388252794	"HUM_TYPH_WA_10_R9_3273"	"Typhimurium"	"Human"	"WA"
"BOV_NEWP_NY_09_R8_4108"	-0.0884118877774903	-0.0172068117393751	"BOV_NEWP_NY_09_R8_4108"	"Newport"	"Bovine"	"NY"
"HUM_TYPH_WA_10_R9_3274"	0.391982963852041	0.725303636969008	"HUM_TYPH_WA_10_R9_3274"	"Typhimurium"	"Human"	"WA"
"BOV_DUBN_WA_08_R9_3231"	-0.305647447782446	-0.130567606971799	"BOV_DUBN_WA_08_R9_3231"	"Dublin"	"Bovine"	"WA"
