"NMDS1"	"NMDS2"	"site"	"Source"	"Geo"	"Group"
"HUM_TYPH_NY_11_R8_8132"	-0.321402703910631	-0.15027242977541	"HUM_TYPH_NY_11_R8_8132"	"Human"	"NY"	"Human NY"
"HUM_TYPH_NY_12_R9_0437"	0.0396971324978294	-0.162009264199465	"HUM_TYPH_NY_12_R9_0437"	"Human"	"NY"	"Human NY"
"BOV_TYPH_NY_11_R8_9118"	0.0577531874302092	0.105615160313027	"BOV_TYPH_NY_11_R8_9118"	"Bovine"	"NY"	"Bovine NY"
"HUM_TYPH_WA_09_R9_3271"	0.0396967727963941	-0.162009293759603	"HUM_TYPH_WA_09_R9_3271"	"Human"	"WA"	"Human WA"
"HUM_TYPH_WA_09_R9_3272"	0.0119445109880578	-0.107158470281724	"HUM_TYPH_WA_09_R9_3272"	"Human"	"WA"	"Human WA"
"HUM_TYPH_WA_10_R9_3273"	0.250663287163459	0.188257264420094	"HUM_TYPH_WA_10_R9_3273"	"Human"	"WA"	"Human WA"
"HUM_TYPH_WA_10_R9_3274"	0.24112484001794	0.00689608357331339	"HUM_TYPH_WA_10_R9_3274"	"Human"	"WA"	"Human WA"
"BOV_TYPH_NY_11_R8_8387"	0.148065489624625	-0.0967358652866934	"BOV_TYPH_NY_11_R8_8387"	"Bovine"	"NY"	"Bovine NY"
"HUM_TYPH_NY_08_R8_0764"	0.104749981328589	0.116340925903738	"HUM_TYPH_NY_08_R8_0764"	"Human"	"NY"	"Human NY"
"HUM_TYPH_NY_08_R8_0763"	0.0554681903920536	-0.165622732361429	"HUM_TYPH_NY_08_R8_0763"	"Human"	"NY"	"Human NY"
"HUM_TYPH_WA_08_R9_3269"	0.187892100697754	0.0739109672614782	"HUM_TYPH_WA_08_R9_3269"	"Human"	"WA"	"Human WA"
"BOV_TYPH_NY_11_R8_8274"	0.148065489624578	-0.0967358652866808	"BOV_TYPH_NY_11_R8_8274"	"Bovine"	"NY"	"Bovine NY"
"HUM_TYPH_WA_08_R9_3270"	0.408428908842551	0.0346306977889904	"HUM_TYPH_WA_08_R9_3270"	"Human"	"WA"	"Human WA"
